file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,6
style.css,2,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,64
style.css,3,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,85
style.css,4,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,5,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,5
style.css,6,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,24
style.css,7,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,0
style.css,8,css,e8dd3230,Shriya Pattapu,2025-04-02,20:28:03,-07:00,2025-04-02T20:28:03-07:00,0,5
style.css,9,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,16
style.css,10,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,19
style.css,11,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,12,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,24
style.css,13,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,14,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,4
style.css,15,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,16,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,39
style.css,17,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,72
style.css,18,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,19,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,0
style.css,20,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,18
style.css,21,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,18
style.css,22,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,54
style.css,23,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,58
style.css,24,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,49
style.css,25,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,67
style.css,26,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,0
style.css,27,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,6
style.css,28,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,7
style.css,29,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,21
style.css,30,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,14
style.css,31,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,18
style.css,32,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,15
style.css,33,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,19
style.css,34,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,44
style.css,35,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,36,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,14
style.css,37,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,46
style.css,38,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,21
style.css,39,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,17
style.css,40,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,41,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,12
style.css,42,css,b524f383,Shriya Pattapu,2025-04-16,20:34:30,-07:00,2025-04-16T20:34:30-07:00,0,41
style.css,43,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,46
style.css,44,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,21
style.css,45,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,46,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,4
style.css,47,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,48,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,31
style.css,49,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,8
style.css,50,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,51,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,5
style.css,52,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
